Date,Nifty close,Change,Nifty (n-1) close,20DMA,Nifty - 20DMA,Nifty - 20DMA squared,20DMA crossing,10D MA change,Range,ATR,OI change,COI change,PCR TW,RSI,FII net,DII net,FII + DII net,PE,10D MA FII net,10D MA DII net,Range between Max Ois,PCR TW change,PE change,Up streak,Down streak,Up,Down,Up 2.17%,Down 2.07%,Up 1.11% to 2.17%,Down 1.01% to 2.07%,Up upto 1.11%,Down upto 1.01%,Classification
24-03-2022,17153,-69.75,17245.65,16730.97857,491.7714286,241839.138,0,87.74,196.9,327.4224,-4113,427,0.96,62.34,-1740.31,2091.07,350.76,22.14,-639.58,537.123,500,0.419905547,-0.03,0,2,0,1,0,0,0,0,0,1,Down to 1SD
25-03-2022,17222,69,17222.75,16733.87381,419.1261905,175666.7635,0,55.81,212.35,319.6317,-3617,3407,0.82,66.49,-1507.37,1373.02,-134.35,22.05,-592.202,579.854,500,-0.148267679,-0.09,0,3,0,1,0,0,0,0,0,1,Up to 1SD
28-03-2022,17325.3,103.3,17153,16741.43333,480.5666667,230944.3211,0,59.155,230.3,313.3151,-19244,-6317,0.81,77.85,-801.41,1161.7,360.29,22.14,-445.953,527.339,500,-0.002936312,0.09,1,0,1,0,0,0,0,0,1,0,Up to 1SD
29-03-2022,17498.25,172.95,17222,16792.73571,532.5642857,283624.7184,0,45.4,104.15,292.2837,7051,52301,0.98,77.42,35.47,1713.31,1748.78,22.27,-424.754,588.808,500,0.166479888,0.13,2,0,1,0,0,0,0,0,1,0,Up to 1SD
30-03-2022,17464.75,-33.5,17325.3,16832.72857,665.5214286,442918.7719,0,83.525,134.2,292.3287,-71146,-22632,1.11,75.81,1357.47,1216,2573.47,22.5,-164.033,700.583,500,0.130576124,0.23,3,0,1,0,0,0,0,0,1,0,Down to 1SD
31-03-2022,17670.45,205.7,17498.25,16864.67381,600.0761905,360091.4344,0,48.94,123.3,280.3295,122701,12582,1.11,71.56,3088.73,1145.28,4234.01,22.92,113.641,737.856,0,0,0.42,0,1,0,1,0,0,0,0,0,1,Down to 1SD
01-04-2022,18053.4,382.95,17464.75,16915.36429,755.0857143,570154.4359,0,38.34,270.8,280.3774,-7279,-87799,1.11,73.77,1909.78,-183.79,1725.99,23.19,24.605,787.322,500,0,0.27,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
04-04-2022,17957.4,-96,17670.45,16989.42857,1063.971429,1132035.201,0,93.58,291,292.079,-14100,-21088,1.28,75.37,1152.21,1675.01,2827.22,23.69,436.038,929.532,500,0.168655306,0.5,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
05-04-2022,17807.65,-149.75,18053.4,17070.95476,886.4452381,785785.1601,0,64.19,172.55,283.6376,7816,6059,0.93,79.19,374.89,105.42,480.31,23.57,435.079,1000.279,0,-0.347455939,-0.12,0,1,0,1,0,0,0,0,0,1,Down to 1SD
06-04-2022,17639.55,-168.1,17957.4,17163.55,644.1,414864.81,0,56.2,120.1,276.06,-28963,-29209,0.66,70.25,-2279.97,622.92,-1657.05,23.37,158.949,1091.994,500,-0.276396421,-0.2,0,2,0,1,0,0,0,0,0,1,Down to 1SD
07-04-2022,17784.35,144.8,17807.65,17240.98333,398.5666667,158855.3878,0,41.68,162.35,269.4807,-6281,-2549,0.52,59.22,-5009.62,1774.7,-3234.92,23.15,-167.982,1060.357,200,-0.136909856,-0.22,0,3,0,1,0,0,0,0,0,1,Up to 1SD
08-04-2022,17674.95,-109.4,17639.55,17309.50714,474.8428571,225475.739,0,63.135,240.2,267.5321,-1864,-5930,0.76,67.67,-575.04,-16.51,-591.55,23.34,-74.749,921.404,300,0.243271484,0.19,1,0,1,0,0,0,0,0,1,0,Down to 1SD
11-04-2022,17530.3,-144.65,17784.35,17360.9381,314.0119048,98603.47633,0,45.295,127.8,257.9512,-11505,-9631,0.61,60.00,-1145.24,486.51,-658.73,23.2,-109.132,853.885,300,-0.153906176,-0.14,0,1,0,1,0,0,0,0,0,1,Down to 1SD
12-04-2022,17475.65,-54.65,17674.95,17403.7881,126.5119048,16005.26205,0,20.5,152.05,256.1404,2514,5203,0.5,57.60,-3128.39,870.01,-2258.38,23.01,-425.518,769.555,500,-0.109472362,-0.19,0,2,0,1,0,0,0,0,0,1,Down to 1SD
13-04-2022,17173.65,-302,17530.3,17432.56667,43.08333333,1856.173611,0,-2.26,205.5,252.5768,6421,8552,0.54,56.64,-2061.04,1410.85,-650.19,22.92,-767.369,789.04,1000,0.039364692,-0.09,0,3,0,1,0,0,0,0,0,1,Down to 1SD
18-04-2022,16958.65,-215,17475.65,17456.88333,-283.2333333,80221.12111,0,-29.11,168.75,263.6642,5899,8933,0.47,50.48,-6387.45,3341.96,-3045.49,22.53,-1714.987,1008.708,500,-0.063046056,-0.39,0,4,0,1,0,0,0,1,0,0,Down 1SD to 2SD
19-04-2022,17136.55,177.9,17173.65,17456.0881,-497.4380952,247444.6586,0,-71.18,447.1,277.0417,-4787,-2064,0.41,44.23,-5871.69,3980.81,-1890.88,22.1,-2493.134,1425.168,700,-0.064516761,-0.43,0,5,0,1,0,0,0,1,0,0,Down 1SD to 2SD
20-04-2022,17392.6,256.05,16958.65,17448.92143,-312.3714286,97575.90939,0,-91.685,207.4,273.5556,-11173,-9631,0.59,46.00,-3009.26,2645.82,-363.44,22.33,-2909.281,1522.249,500,0.18076498,0.23,1,0,1,0,0,0,0,0,1,0,Down to 1SD
21-04-2022,17171.95,-220.65,17136.55,17462.01667,-69.41666667,4818.673611,0,-56.48,198.15,273.8847,-11513,6432,0.93,47.84,-713.69,2823.43,2109.74,22.67,-3018.139,1794.05,500,0.343752102,0.34,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
22-04-2022,16953.95,-218,17392.6,17455.18095,-283.2309524,80219.77239,0,-63.815,165.3,271.7072,-13883,-6689,0.74,44.43,-2461.72,1602.35,-859.37,22.38,-3036.314,1891.993,500,-0.196522303,-0.29,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
25-04-2022,17200.8,246.85,17171.95,17441.29048,-487.3404762,237500.7397,0,-68.56,165.1,272.5317,-10151,14180,0.65,36.43,-3302.85,1870.45,-1432.4,22.03,-2865.637,1901.568,200,-0.085477943,-0.35,0,2,0,1,0,0,0,1,0,0,Down 1SD to 2SD
26-04-2022,17038.4,-162.4,16953.95,17440.24524,-239.4452381,57334.02205,0,-58.355,158,272.3437,-2365,23653,0.91,32.97,-1173.85,1643.84,469.99,22.17,-2925.518,2067.603,500,0.255829917,0.14,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
27-04-2022,17245.05,206.65,17200.8,17434.7881,-396.3880952,157123.522,0,-63.655,150.85,270.2013,-59997,-29544,0.74,32.12,-4064.54,1917.51,-2147.03,21.96,-3217.448,2210.703,500,-0.167135379,-0.21,0,1,0,1,0,0,0,0,0,1,Down to 1SD
28-04-2022,17102.55,-142.5,17038.4,17435.88571,-190.8357143,36418.26985,0,-28.525,251.3,271.1941,86176,18087,1.11,39.29,743.22,780.94,1524.16,22.2,-2830.287,2201.796,300,0.371130501,0.24,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
29-04-2022,17069.1,-33.45,17245.05,17425.27857,-322.7285714,104153.7308,0,-37.31,323.3,274.9945,5916,-47074,0.7,39.68,-3648.3,3490.3,-158,22.01,-2989.013,2409.741,300,-0.415648155,-0.19,0,1,0,1,0,0,0,0,0,1,Down to 1SD
02-05-2022,16677.6,-391.5,17102.55,17404.84286,-335.7428571,112723.2661,0,-10.455,172.45,268.5878,8550,10433,0.77,35.64,-1853.46,1951.1,97.64,21.87,-2535.614,2270.655,500,0.072874957,-0.14,0,2,0,1,0,0,0,0,0,1,Down to 1SD
04-05-2022,16682.65,5.05,17069.1,17367.35952,-689.7595238,475768.2007,0,-28.105,504.55,285.7529,30341,36806,0.41,32.01,-3288.18,1338,-1950.18,21.31,-2277.263,2006.374,500,-0.361709405,-0.56,0,3,0,1,0,1,0,0,0,0,Down 2SD
05-05-2022,16411.25,-271.4,16677.6,17320.32143,-637.6714286,406624.8508,0,-45.225,205.85,286.3313,-7928,-6999,0.48,33.90,-2074.74,2229.31,154.57,21.24,-2183.811,1964.723,500,0.076745779,-0.07,1,0,1,0,0,0,0,0,1,0,Down to 1SD
06-05-2022,16301.85,-109.4,16682.65,17242.12381,-830.8738095,690351.2874,0,-98.135,141.5,290.2898,10079,12863,0.46,31.32,-5517.08,3014.85,-2502.23,20.89,-2664.15,1983.865,700,-0.020033008,-0.35,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
09-05-2022,16240.05,-61.8,16411.25,17163.2881,-861.4380952,742075.5919,0,-86.765,259.45,288.7798,2831,5889,0.56,33.59,-3361.8,3077.24,-284.56,20.75,-2754.158,2131.354,500,0.098200544,-0.14,0,2,0,1,0,0,0,0,0,1,Down to 1SD
10-05-2022,16167.1,-72.95,16301.85,17088.64048,-848.5904762,720105.7963,0,-71.39,205.9,282.9562,13703,14888,0.59,35.65,-3960.59,2958.4,-1002.19,20.42,-2819.932,2240.149,500,0.024439844,-0.33,0,3,0,1,0,0,0,0,0,1,Down to 1SD
11-05-2022,15808,-359.1,16240.05,17018.52381,-851.4238095,724922.5034,0,-103.37,323.7,286.0415,-27828,-24646,0.5,29.79,-3609.35,4181.2,571.85,20.32,-3063.482,2493.885,500,-0.090899661,-0.1,0,4,0,1,0,0,0,0,0,1,Down to 1SD
12-05-2022,15782.15,-25.85,16167.1,16924.4119,-1116.411905,1246375.541,0,-123.04,297.75,296.4207,-320,7647,0.37,18.33,-5255.75,4815.64,-440.11,19.87,-3182.603,2783.698,0,-0.128483601,-0.45,0,5,0,1,0,1,0,0,0,0,Down 2SD
13-05-2022,15842.3,60.15,15808,16834.27857,-1052.128571,1106974.531,0,-146.29,342,299.7299,-21613,-15781,0.42,19.88,-3780.08,3169.62,-610.46,19.83,-3634.933,3022.566,500,0.052444339,-0.04,0,6,0,1,0,0,0,0,0,1,Up to 1SD
16-05-2022,16259.3,417,15782.15,16753.89762,-911.597619,831010.2191,0,-126.025,235.9,295.3421,-528,1875,0.51,24.14,-1788.93,1428.39,-360.54,19.72,-3448.996,2816.375,400,0.092074305,-0.11,1,0,1,0,0,0,0,0,1,0,Down to 1SD
17-05-2022,16240.3,-19,15842.3,16695.97619,-436.6761905,190686.0953,0,-80.98,373.85,305.8141,4652,6648,0.74,29.70,-2192.44,2294.42,101.98,20.12,-3482.894,2850.707,500,0.227722598,0.4,2,0,1,0,1,0,0,0,0,0,Up 2SD
18-05-2022,15809.4,-430.9,16259.3,16651.53095,-411.2309524,169110.8962,0,-43.73,187.45,297.4416,-20878,-21445,0.74,31.66,-1254.64,375.61,-879.03,20.12,-3279.54,2754.468,500,0,0,0,1,0,1,0,0,0,0,0,1,Down to 1SD
19-05-2022,16266.15,456.75,16240.3,16596.80476,-787.4047619,620006.2591,0,-87.49,207.1,309.4172,6763,19221,0.71,20.09,-4899.92,3225.54,-1674.38,19.51,-3562.058,2854.091,0,-0.028249329,-0.61,0,2,0,1,0,1,0,0,0,0,Down 2SD
20-05-2022,16214.7,-51.45,15809.4,16555.35714,-289.2071429,83640.77148,0,-14.51,277.55,321.1481,-23020,-16446,1.01,34.59,-1265.41,2148.95,883.54,20.05,-3136.891,2767.501,300,0.297189679,0.54,1,0,1,0,1,0,0,0,0,0,Up 2SD
23-05-2022,16125.15,-89.55,16266.15,16499.26667,-284.5666667,80978.18778,0,-8.715,226.55,314.5626,5559,25040,0.95,34.36,-1951.17,1445.39,-505.78,20.01,-2995.828,2604.316,500,-0.06089633,-0.04,0,1,0,1,0,0,0,0,0,1,Down to 1SD
24-05-2022,16025.8,-99.35,16214.7,16449.41905,-324.2690476,105150.4152,0,-11.49,182.6,305.2509,-33138,-10938,0.83,38.63,-2393.45,1948.49,-444.96,19.87,-2839.114,2503.325,500,-0.119922045,-0.14,0,2,0,1,0,0,0,0,0,1,Down to 1SD
25-05-2022,16170.15,144.35,16125.15,16405.22143,-379.4214286,143960.6205,0,-14.13,215.7,298.9044,7899,63010,0.64,36.99,-1803.06,2229.82,426.76,19.74,-2658.485,2308.187,500,-0.191401904,-0.13,0,3,0,1,0,0,0,0,0,1,Up to 1SD
26-05-2022,16352.45,182.3,16025.8,16356.14286,-185.9928571,34593.34291,0,36.215,299.25,299.0363,94271,3382,0.99,44.97,-1597.84,2906.46,1308.62,19.88,-2292.694,2117.269,500,0.355401491,0.14,1,0,1,0,0,0,0,0,1,0,Down to 1SD
27-05-2022,16661.4,308.95,16170.15,16323.47857,28.97142857,839.3436735,1,57.03,146.5,291.9944,-758,-67461,1.07,51.02,-1943.1,2727.47,784.37,20.27,-2108.996,2073.054,300,0.082272725,0.39,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
30-05-2022,16584.55,-76.85,16352.45,16295.68571,365.7142857,133746.9388,0,81.47,179.7,295.6512,4438,7267,1.27,57.75,502.08,1524.49,2026.57,20.65,-1879.895,2082.664,700,0.196811087,0.38,3,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
31-05-2022,16522.75,-61.8,16661.4,16271.01905,313.5309524,98301.6581,0,32.525,167.7,285.5847,-12337,-12569,1.03,57.67,-1003.56,1845.15,841.59,20.44,-1761.007,2037.737,1000,-0.245854364,-0.21,0,1,0,1,0,0,0,0,0,1,Down to 1SD
01-06-2022,16628,105.25,16584.55,16245.00238,277.747619,77143.73989,0,28.245,209.45,281.1394,-9105,-9990,0.66,64.74,-1930.16,984.11,-946.05,20.45,-1828.559,2098.587,1000,-0.369274644,0.01,0,2,0,1,0,0,0,0,0,1,Up to 1SD
02-06-2022,16584.3,-43.7,16522.75,16242.64048,385.3595238,148501.9626,0,81.86,200.55,275.583,16440,17518,1.01,66.89,-451.82,130.33,-321.49,20.58,-1383.749,1789.066,500,0.353699592,0.13,1,0,1,0,0,0,0,0,1,0,Down to 1SD
03-06-2022,16569.55,-14.75,16628,16237.95714,346.3428571,119953.3747,0,31.815,224.75,272.0378,-22640,-23087,0.74,64.92,-3770.51,2360.51,-1410,20.52,-1634.259,1810.222,700,-0.271046336,-0.06,0,1,0,1,0,0,0,0,0,1,Down to 1SD
06-06-2022,16416.35,-153.2,16584.3,16245.49524,324.0547619,105011.4887,0,35.485,165.2,264.4922,22317,23290,0.75,57.44,-2397.65,1940,-457.65,20.5,-1678.907,1859.683,700,0.012966908,-0.02,0,2,0,1,0,0,0,0,0,1,Down to 1SD
07-06-2022,16356.25,-60.1,16569.55,16250.94762,165.402381,27357.94762,0,29.12,125.9,272.0378,176,89,0.54,53.97,-2294.08,1311.14,-982.94,20.31,-1668.97,1795.948,800,-0.209791039,-0.19,0,3,0,1,0,0,0,0,0,1,Down to 1SD
08-06-2022,16478.1,121.85,16416.35,16256.48095,99.76904762,9953.862863,0,33.045,219.2,258.5935,6722,7751,0.51,64.79,-2484.25,1904.33,-579.92,20.31,-1737.089,1763.399,800,-0.028420963,0,0,4,0,1,0,0,0,0,0,1,Up to 1SD
09-06-2022,16201.8,-276.3,16356.25,16271.29048,206.8095238,42770.17914,0,30.795,246.4,257.9047,3034,-2053,0.67,57.00,-1512.64,1624.9,112.26,20.39,-1728.569,1635.243,800,0.151421524,0.08,1,0,1,0,0,0,0,0,1,0,Down to 1SD
10-06-2022,15774.4,-427.4,16478.1,16290.04286,-88.24285714,7786.801837,0,-15.065,151.15,261.3044,18978,25105,0.67,49.63,-3973.95,2831.07,-1142.88,20.05,-1931.654,1645.603,500,0,-0.34,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
13-06-2022,15732.1,-42.3,16201.8,16289.67381,-515.2738095,265507.0988,0,-88.22,202.15,279.6255,-33585,-31747,0.5,41.55,-4164.01,2814.5,-1349.51,19.52,-2398.263,1774.604,500,-0.164836111,-0.53,0,2,0,1,0,1,0,0,0,0,Down 2SD
14-06-2022,15692.15,-39.95,15774.4,16284.42619,-552.3261905,305064.2207,0,-85.245,196.9,273.8344,-4802,-1433,0.55,42.73,-4502.25,3807.6,-694.65,19.47,-2748.132,1970.849,700,0.049476936,-0.05,0,3,0,1,0,0,0,0,0,1,Down to 1SD
15-06-2022,15360.6,-331.55,15732.1,16257.41905,-565.2690476,319529.0962,0,-83.06,103.75,261.7569,5641,8598,0.59,37.52,-3531.15,2588,-943.15,19.42,-2908.231,2131.238,500,0.043818507,-0.05,0,4,0,1,0,0,0,0,0,1,Down to 1SD
16-06-2022,15293.5,-67.1,15692.15,16215.52857,-854.9285714,730902.8622,0,-126.74,526.45,280.7779,29108,32326,0.46,25.97,-3257.65,1929.14,-1328.51,19.01,-3188.814,2311.119,700,-0.13310918,-0.41,0,5,0,1,0,1,0,0,0,0,Down 2SD
17-06-2022,15350.15,56.65,15360.6,16190.9619,-897.4619048,805437.8705,0,-129.08,213.5,276.2223,-35567,-31820,0.56,12.46,-7818.61,6086.92,-1731.69,18.92,-3593.624,2683.76,700,0.099077919,-0.09,0,6,0,1,0,0,0,0,0,1,Up to 1SD
20-06-2022,15650,299.85,15293.5,16147.34286,-797.1928571,635516.4515,0,-121.94,189.5,270.1636,-10020,-755,0.67,15.75,-1216.94,2093.39,876.45,18.99,-3475.553,2699.099,500,0.10876205,0.07,1,0,1,0,0,0,0,0,1,0,Down to 1SD
21-06-2022,15413.3,-236.7,15350.15,16120.45238,-470.452381,221325.4427,0,-77.755,286.85,276.3133,7474,13993,1.06,28.61,-2701.21,3066.41,365.2,19.35,-3516.266,2874.626,700,0.390883022,0.36,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
22-06-2022,15556.65,143.35,15650,16086.55476,-673.2547619,453271.9744,0,-94.295,171.65,274.6931,8456,10251,0.64,22.03,-2920.61,1859.07,-1061.54,19.07,-3559.902,2870.1,700,-0.414215246,-0.28,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
23-06-2022,15699.25,142.6,15413.3,16064.21429,-507.5642857,257621.5041,0,-92.145,259.8,273.7114,-18010,-6409,0.99,27.38,-2319.06,2438.31,119.25,19.25,-3640.544,2951.441,500,0.342391704,0.18,1,0,1,0,0,0,0,0,1,0,Up to 1SD
24-06-2022,15832.05,132.8,15556.65,16041.79048,-342.5404762,117333.9778,0,-50.255,127.6,267.9178,-3858,4271,0.97,31.86,-2353.77,2213.44,-140.33,19.43,-3478.526,2889.678,500,-0.020917321,0.18,2,0,1,0,0,0,0,0,1,0,Up to 1SD
27-06-2022,15850.2,18.15,15699.25,16017.00952,-184.9595238,34210.02545,0,5.725,109.35,265.0808,-27960,-12554,1,37.72,-1278.42,1184.47,-93.95,19.59,-3189.967,2726.675,500,0.031331464,0.16,3,0,1,0,0,0,0,0,1,0,Up to 1SD
28-06-2022,15799.1,-51.1,15832.05,15978.38095,-128.1809524,16430.35655,0,11.81,177.3,259.1429,-13854,26764,0.91,39.17,-1244.44,1205.63,-38.81,19.61,-2864.186,2466.478,500,-0.084489368,0.02,4,0,1,0,0,0,0,0,1,0,Down to 1SD
29-06-2022,15780.25,-18.85,15850.2,15940.97857,-141.8785714,20129.52903,0,10.695,155.25,253.0469,-46563,-2703,1.01,35.02,-851.06,847.46,-3.6,19.55,-2596.177,2292.424,500,0.094410676,-0.06,0,1,0,1,0,0,0,0,0,1,Down to 1SD
30-06-2022,15752.05,-28.2,15799.1,15905.62143,-125.3714286,15717.9951,0,41.965,157.6,246.4829,116437,42826,1.06,39.51,-1138.05,1378.2,240.15,19.5,-2384.217,2237.33,500,0.048064442,-0.05,0,2,0,1,0,0,0,0,0,1,Down to 1SD
01-07-2022,15835.35,83.3,15780.25,15863.90952,-111.8595238,12512.55307,0,45.855,279.75,249.0841,20961,-61638,1.1,49.31,-2324.74,1310.71,-1014.03,19.46,-1834.83,1759.709,500,0.046695991,-0.04,0,3,0,1,0,0,0,0,0,1,Up to 1SD
04-07-2022,15810.85,-24.5,15752.05,15828.24524,7.104761905,50.47764172,1,48.52,189.8,244.9031,-4636,-3173,1.1,53.13,-2149.56,1688.39,-461.17,19.57,-1928.092,1719.209,500,0,0.11,1,0,1,0,0,0,0,0,1,0,Down to 1SD
05-07-2022,15989.8,178.95,15835.35,15792.11667,18.73333333,350.9377778,0,17.205,240.05,244.5743,4924,6238,0.8,53.63,1295.84,-257.59,1038.25,19.54,-1528.387,1386.809,500,-0.298365116,-0.03,0,1,0,1,0,0,0,0,0,1,Down to 1SD
06-07-2022,16132.9,143.1,15810.85,15771.80476,217.9952381,47521.92383,0,57.65,57.65,242.1368,2648,2795,1.25,71.23,-330.13,1464.33,1134.2,19.76,-1269.339,1347.335,400,0.441630832,0.22,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
07-07-2022,16220.6,87.7,15989.8,15761.16905,371.7309524,138183.901,0,57.625,103,236.3199,-19153,-18458,1.26,76.94,-1285.22,980.59,-304.63,19.93,-1165.955,1201.563,300,0.017171857,0.17,2,0,1,0,0,0,0,0,1,0,Up to 1SD
08-07-2022,16216,-4.6,16132.9,15748.90714,471.6928571,222494.1515,0,52.135,104,229.6257,-13799,-12685,1.08,77.39,-109.31,34.61,-74.7,20.04,-941.509,983.68,200,-0.184730124,0.11,3,0,1,0,0,0,0,0,1,0,Down to 1SD
11-07-2022,16058.3,-157.7,16220.6,15749.58333,466.4166667,217544.5069,0,38.395,132.75,222.7274,19985,20421,1.14,71.87,-170.51,-296.99,-467.5,20.03,-830.718,835.534,600,0.065871435,-0.01,0,1,0,1,0,0,0,0,0,1,Down to 1SD
12-07-2022,15966.65,-91.65,16216,15763.10238,295.197619,87141.63429,0,20.81,126.4,220.0219,5385,4871,0.67,76.55,-1565.68,140.71,-1424.97,19.83,-862.842,729.042,200,-0.469621105,-0.2,0,2,0,1,0,0,0,0,0,1,Down to 1SD
13-07-2022,15938.65,-28,16058.3,15774.27143,192.3785714,37009.51474,0,16.755,189.3,217.8667,-5947,-1682,0.58,67.62,-2839.52,1799.22,-1040.3,19.72,-1061.688,824.218,1000,-0.089545215,-0.11,0,3,0,1,0,0,0,0,0,1,Down to 1SD
14-07-2022,16049.2,110.55,15966.65,15786.00952,152.6404762,23299.11497,0,15.84,211.3,217.4941,9178,13012,0.86,61.42,309.06,-556.4,-247.34,19.69,-916.977,630.758,0,0.278056113,-0.03,0,4,0,1,0,0,0,0,0,1,Up to 1SD
15-07-2022,16278.5,229.3,15938.65,15818.8,230.4,53084.16,0,29.715,139,211.9338,-6384,-3457,1.11,60.58,-1649.36,1059.46,-589.9,19.82,-849.439,605.633,500,0.244397729,0.13,1,0,1,0,0,0,0,0,1,0,Down to 1SD
18-07-2022,16340.55,62.05,16049.2,15865.70476,412.7952381,170399.9086,0,44.315,140.15,213.8493,-20493,-18407,1.37,67.31,156.08,844.33,1000.41,20.11,-618.875,521.227,600,0.266403459,0.29,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
19-07-2022,16520.85,180.3,16278.5,15912.86667,427.6833333,182913.0336,0,52.97,164.4,210.8922,6671,19826,1.37,71.68,976.4,-100.73,875.67,20.18,-650.819,536.913,400,-0.008414423,0.07,3,0,1,0,0,0,0,0,1,0,Up to 1SD
20-07-2022,16605.25,84.4,16340.55,15954.33571,566.5142857,320938.4359,0,53.105,96.85,213.5034,-37117,-41463,1.39,76.26,1781.3,-230.22,1551.08,20.33,-439.676,367.458,600,0.020588163,0.15,4,0,1,0,0,0,0,0,1,0,Up to 1SD
21-07-2022,16719.45,114.2,16520.85,16011.09524,594.1547619,353019.8811,0,47.235,138.3,208.4711,10962,17519,1.33,79.10,1799.32,-312.29,1487.03,20.43,-131.222,238.17,500,-0.059646673,0.1,5,0,1,0,0,0,0,0,1,0,Up to 1SD
22-07-2022,16631,-88.45,16605.25,16066.46667,652.9833333,426387.2336,0,49.885,141.25,204.0803,-18842,-10751,1.35,79.53,-675.45,739.38,63.93,20.55,-187.836,308.647,500,0.01899386,0.12,6,0,1,0,0,0,0,0,1,0,Down to 1SD
25-07-2022,16483.85,-147.15,16719.45,16110.83571,520.1642857,270570.8841,0,41.5,138.4,213.5034,-9254,3145,1.07,76.27,-844.78,-72.26,-917.04,20.44,-255.263,331.12,500,-0.27399072,-0.11,0,1,0,1,0,0,0,0,0,1,Down to 1SD
26-07-2022,16641.8,157.95,16631,16141.87381,341.9761905,116947.7149,0,42.555,172.8,198.6039,-20873,4717,1.35,66.15,-1548.29,999.36,-548.93,20.17,-253.524,416.985,200,0.279918272,-0.27,0,2,0,1,0,0,0,0,0,1,Up to 1SD
27-07-2022,16929.6,287.8,16483.85,16179.56905,462.2309524,213657.4533,0,67.515,214.75,199.7536,7231,2241,1.35,66.48,-436.81,712.03,275.22,20.19,-13.253,308.266,200,0,0.02,1,0,1,0,0,0,0,0,1,0,Down to 1SD
28-07-2022,17158.25,228.65,16641.8,16233.40238,696.197619,484691.1248,0,99.095,195.3,207.3319,21545,-430,1.37,70.33,1637.69,600.29,2237.98,20.49,119.61,423.935,400,0.018661052,0.3,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
29-07-2022,17340.05,181.8,16929.6,16299.02143,859.2285714,738273.738,0,110.905,153.85,209.8939,15214,-43412,1.27,73.94,1046.32,-0.91,1045.41,20.73,389.178,317.898,600,-0.104204773,0.24,3,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
01-08-2022,17345.05,5,17158.25,16374.64048,965.4095238,932015.5487,0,106.155,199.2,209.2902,17812,24302,1.47,82.17,2320.61,-822.23,1498.38,20.9,605.631,151.242,300,0.203547086,0.17,4,0,1,0,0,0,0,0,1,0,Up to 1SD
02-08-2022,17388.15,43.1,17340.05,16446.53095,898.5190476,807336.4789,0,100.49,169.45,206.7915,-86,250,1.37,86.17,825.18,117.79,942.97,20.86,590.509,173.094,300,-0.096363825,-0.04,5,0,1,0,0,0,0,0,1,0,Up to 1SD
03-08-2022,17382,-6.15,17345.05,16521.64048,866.5095238,750838.7549,0,86.73,180.4,204.9946,-15556,-14262,1.21,87.73,765.17,-518.42,246.75,20.85,488.896,144.274,500,-0.165346526,-0.01,6,0,1,0,0,0,0,0,1,0,Down to 1SD
04-08-2022,17397.5,15.5,17388.15,16587.93571,794.0642857,630538.0898,0,77.675,327.45,213.8852,3720,6692,0.99,86.69,1474.77,-46.79,1427.98,20.85,456.441,170.824,500,-0.214575075,0,0,1,0,1,0,0,0,0,0,1,Up to 1SD
05-08-2022,17525.1,127.6,17382,16648.15476,749.3452381,561518.2859,0,67.805,124.8,207.5827,789,4745,0.81,84.91,1605.81,-495.94,1109.87,20.86,684.567,47.292,500,-0.183470101,0.01,1,0,1,0,0,0,0,0,1,0,Up to 1SD
08-08-2022,17534.75,9.65,17397.5,16710.27381,814.8261905,663941.7207,0,89.41,187.7,206.259,20480,23672,1.18,85.51,1449.7,-140.73,1308.97,21.02,914.015,40.445,600,0.372617233,0.16,2,0,1,0,0,0,0,0,1,0,Up to 1SD
10-08-2022,17659,124.25,17525.1,16773.07143,761.6785714,580154.2462,0,105.09,122.55,200.333,-7751,-5644,1.09,83.86,1061.38,-768.45,292.93,21.11,1174.982,-136.336,600,-0.094577828,0.09,3,0,1,0,0,0,0,0,1,0,Up to 1SD
11-08-2022,17698.15,39.15,17534.75,16849.29524,809.7047619,655621.8015,0,101.72,84.3,199.2059,243,3182,1.16,84.27,2298.08,-729.56,1568.52,21.29,1448.471,-280.495,200,0.073595118,0.18,4,0,1,0,0,0,0,0,1,0,Up to 1SD
12-08-2022,17825.25,127.1,17659,16931.74762,766.402381,587372.6095,0,76.855,126.1,194.03431,-864,2207,1.01,83.47,3040.46,-839.45,2201.01,21.18,1588.748,-424.469,300,-0.14762227,-0.11,5,0,1,0,0,0,0,0,1,0,Up to 1SD
