Date,Nifty close,Change,Nifty (n-1) close,20DMA,Nifty - 20DMA,Nifty - 20DMA squared,20DMA crossing,10D MA change,Range,ATR,OI change,COI change,PCR TW,RSI,FII net,DII net,FII + DII net,PE,10D MA FII net,10D MA DII net,Range between Max Ois,PCR TW change,PE change,Up streak,Down streak,Up,Down,Up 2.17%,Down 2.07%,Up 1.11% to 2.17%,Down 1.01% to 2.07%,Up upto 1.11%,Down upto 1.01%,Classification
20-12-2021,16770.85,156.65,16985.2,17240.44048,-626.2404762,392177.134,0,-29.805,418.1,276.3692,-21621,-15411,0.47,42.53,-3565.36,2764.02,-801.34,22.92,-1985.982,1553.466,500,-0.018540653,-0.51,0,2,0,1,0,1,0,0,0,0,Down 2SD
21-12-2021,16955.45,184.6,16614.2,17209.69286,-438.8428571,192583.0533,0,-40.585,245.35,279.6429,-10699,-9887,0.65,41.89,-1209.82,1404.89,195.07,23.13,-1848.467,1433.374,700,0.177574792,0.21,1,0,1,0,0,0,0,0,1,0,Up to 1SD
22-12-2021,17072.6,117.15,16770.85,17183.60238,-228.152381,52053.50893,0,-51.43,150.9,273.9648,-2066,-461,0.85,40.67,-827.26,1593.41,766.15,23.39,-1873.266,1419.165,400,0.200079092,0.26,2,0,1,0,0,0,0,0,1,0,Up to 1SD
23-12-2021,17003.75,-68.85,16955.45,17167.29524,-94.6952381,8967.188118,0,-44.425,101.75,266.053,1815,4230,0.97,47.31,-271.59,1196.48,924.89,23.55,-1741.87,1368.657,0,0.127718473,0.16,3,0,1,0,0,0,0,0,1,0,Down to 1SD
24-12-2021,17086.25,82.5,17072.6,17141.9381,-138.1880952,19095.94967,0,-50.755,241.25,264.6207,245,13577,0.88,52.19,-715,-43.24,-758.24,23.45,-1704.13,1325.67,500,-0.096615354,-0.1,0,1,0,1,0,0,0,0,0,1,Up to 1SD
27-12-2021,17233.25,147,17003.75,17144.78571,-58.53571429,3426.429847,0,-28.2,267.25,265.6371,-26390,1184,1.16,47.63,-1038.25,955.79,-82.46,23.57,-1533.611,1286.146,500,0.283609752,0.12,1,0,1,0,0,0,0,0,1,0,Up to 1SD
28-12-2021,17213.6,-19.65,17086.25,17153.32381,79.92619048,6388.195924,1,-9.165,88.2,258.3773,1543,30879,1.09,43.28,207.31,567.47,774.78,23.77,-1436.562,1300.35,500,-0.074490082,0.2,2,0,1,0,0,0,0,0,1,0,Down to 1SD
29-12-2021,17203.95,-9.65,17233.25,17164.29524,49.3047619,2430.959546,0,-0.78,108.8,247.7289,-13683,30923,1.09,41.25,-975.23,1006.93,31.7,23.74,-1193.381,1245.742,500,0,-0.03,0,1,0,1,0,0,0,0,0,1,Down to 1SD
30-12-2021,17354.05,150.1,17213.6,17166.05952,37.89047619,1435.688186,0,-4.445,117.7,238.4411,-101121,-45348,0.97,41.15,-986.32,577.74,-408.58,23.73,-1145.142,1150.201,0,-0.112427862,-0.01,0,2,0,1,0,0,0,0,0,1,Up to 1SD
31-12-2021,17625.7,271.65,17203.95,17163.79286,190.2571429,36197.78041,0,37.905,156.05,235.4703,149849,-40470,1.27,49.59,575.39,1165.62,1741.01,24.11,-880.613,1118.911,300,0.296440717,0.38,1,0,1,0,0,0,0,0,1,0,Down to 1SD
03-01-2022,17805.25,179.55,17354.05,17184.22143,441.4785714,194903.329,0,101.15,258.05,239.551,12066,12583,1.5,57.62,902.64,803.11,1705.75,24.49,-433.813,922.82,700,0.227124632,0.38,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
04-01-2022,17925.25,120,17625.7,17226.74524,578.5047619,334667.7595,0,103.44,233.05,239.1581,-4171,-3607,1.51,64.25,1273.86,532.97,1806.83,24.74,-185.445,835.628,400,0.007426254,0.25,3,0,1,0,0,0,0,0,1,0,Up to 1SD
05-01-2022,17745.9,-179.35,17805.25,17262.39048,662.8595238,439382.7483,0,96.98,194.1,236.0346,3952,5846,1.48,65.80,336.83,1271.95,1608.78,24.91,-69.036,803.482,200,-0.027721881,0.17,4,0,1,0,0,0,0,0,1,0,Down to 1SD
06-01-2022,17812.7,66.8,17925.25,17275.54048,470.3595238,221238.0816,0,67.33,139.9,238.4672,5486,8016,1.02,68.48,-1926.77,800.91,-1125.86,24.66,-234.554,763.925,500,-0.45498654,-0.25,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
07-01-2022,18003.3,190.6,17745.9,17289.62857,523.0714286,273603.7194,0,80.895,199.6,235.7517,-12644,-12231,0.99,84.17,496.27,-115.66,380.61,24.75,-113.427,756.683,500,-0.028573853,0.09,1,0,1,0,0,0,0,0,1,0,Up to 1SD
10-01-2022,18055.75,52.45,17812.7,17313.05714,690.2428571,476435.2018,0,91.705,137,233.5373,5678,6744,1.26,84.48,-124.23,481.55,357.32,25.01,-22.025,709.259,500,0.26835058,0.26,2,0,1,0,0,0,0,0,1,0,Up to 1SD
11-01-2022,18212.35,156.6,18003.3,17345.79524,709.9547619,504035.764,0,82.25,116.05,225.2025,-7213,-6390,1.15,83.24,111.91,378.74,490.65,25.09,-31.565,690.386,700,-0.115919098,0.08,3,0,1,0,0,0,0,0,1,0,Up to 1SD
12-01-2022,18257.8,45.45,18055.75,17388.05476,824.2952381,679462.6395,0,99.875,97.4,221.4166,-8155,-7375,1.29,83.63,-1001.57,1332.01,330.44,25.3,-34.199,722.894,200,0.148298554,0.21,4,0,1,0,0,0,0,0,1,0,Up to 1SD
13-01-2022,18255.75,-2.05,18212.35,17437.40714,820.3928571,673044.4401,0,105.385,107.35,213.3475,5095,6128,1.09,87.52,-1390.85,1065.32,-325.53,25.37,-74.652,771.652,200,-0.203995181,0.07,5,0,1,0,0,0,0,0,1,0,Down to 1SD
14-01-2022,18308.1,52.35,18257.8,17485.37619,770.3738095,593475.8064,0,89.15,145.65,210.0584,-1225,119,0.95,86.76,-1598.2,371.41,-1226.79,25.3,-292.011,692.231,0,-0.137301932,-0.07,0,1,0,1,0,0,0,0,0,1,Up to 1SD
17-01-2022,18113.05,-195.05,18255.75,17548.37143,759.7285714,577187.5022,0,68.24,87,201.6828,977,3041,1.1,85.92,-855.47,-115.31,-970.78,25.37,-467.822,600.389,300,0.145869088,0.07,1,0,1,0,0,0,0,0,1,0,Down to 1SD
18-01-2022,17938.4,-174.65,18308.1,17619.74524,493.3047619,243349.5881,0,30.781,263.15,206.209,-10640,-10914,0.59,76.90,-1254.95,-220.2,-1475.15,25,-720.703,525.072,300,-0.510079711,-0.37,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
19-01-2022,17757,-181.4,18113.05,17675.34286,263.0571429,69199.06041,0,1.315,235.8,208.9298,-10345,-8600,0.47,69.99,-2704.77,-195.27,-2900.04,24.76,-1024.863,378.35,800,-0.116691961,-0.24,0,2,0,1,0,0,0,0,0,1,Down to 1SD
20-01-2022,17617.15,-139.85,17938.4,17713.5119,43.48809524,1891.214427,0,1.11,275.7,215.0956,-11935,-372,0.76,60.79,-4679.84,769.26,-3910.58,24.47,-1300.17,375.185,0,0.286514945,-0.29,0,3,0,1,0,0,0,1,0,0,Down 1SD to 2SD
21-01-2022,17149.1,-468.05,17757,17739.44286,-122.2928571,14955.54291,0,-19.555,220.05,219.0994,-5164,7264,0.72,49.75,-3148.58,269.36,-2879.22,24.29,-1664.655,413.687,500,-0.044095541,-0.18,0,4,0,1,0,0,0,0,0,1,Down to 1SD
24-01-2022,17277.95,128.85,17617.15,17746.36429,-597.2642857,356724.627,0,-85.42,599.5,255.9005,20450,69248,0.53,33.80,-3751.58,74.88,-3676.7,23.63,-2027.39,373.02,500,-0.18638711,-0.66,0,5,0,1,0,1,0,0,0,0,Down 2SD
25-01-2022,17110.15,-167.8,17149.1,17755.49286,-477.5428571,228047.1804,0,-77.78,362.7,263.7327,-84484,-40481,0.71,34.08,-7094.48,4534.53,-2559.95,23.47,-2748.029,788.599,500,0.18550769,-0.16,1,0,1,0,0,0,0,0,1,0,Down to 1SD
27-01-2022,17101.95,-8.2,17277.95,17749.63095,-639.4809524,408935.8885,0,-110.22,313.25,274.2661,102151,40737,0.65,34.28,-6266.75,2881.32,-3385.43,23.09,-3274.547,943.53,0,-0.062586647,-0.38,0,1,0,1,0,0,0,0,0,1,Down to 1SD
28-01-2022,17339.85,237.9,17110.15,17744.31429,-642.3642857,412631.8756,0,-115.585,293.7,275.8471,3995,-68241,0.79,31.90,-5045.34,3358.67,-1686.67,23.1,-3639.996,1172.865,500,0.139564658,0.01,0,2,0,1,0,0,0,0,0,1,Down to 1SD
31-01-2022,17576.85,237,17101.95,17750.78571,-410.9357143,168868.1613,0,-91.59,145.55,278.1473,-21693,-18387,0.74,33.50,-3624.48,3648.65,24.17,23.42,-3842.624,1500.589,0,-0.053569671,0.32,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
01-02-2022,17780,203.15,17339.85,17761.39524,-184.5452381,34056.9449,0,-73.125,376.55,285.2689,6832,9747,0.76,39.09,-21.79,1597.7,1575.91,23.62,-3759.256,1671.89,800,0.017988272,0.2,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
02-02-2022,17560.2,-219.8,17576.85,17768.74286,11.25714286,126.7232653,1,-33.306,118.05,280.4461,-857,3568,0.96,40.36,-183.6,425.96,242.36,23.95,-3652.121,1736.506,400,0.208800428,0.33,3,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
03-02-2022,17516.3,-43.9,17780,17757.07381,-196.8738095,38759.29688,0,-37.82,261.45,279.7,8486,11858,0.62,35.56,-1597.54,-370.58,-1968.12,23.65,-3541.398,1718.975,500,-0.34064904,-0.3,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
04-02-2022,17213.6,-302.7,17560.2,17737.6,-221.3,48973.69,0,-24.07,109.3,270.8107,-8755,-8040,0.57,34.96,-2267.86,621.98,-1645.88,23.56,-3300.2,1704.247,300,-0.050425777,-0.09,0,2,0,1,0,0,0,0,0,1,Down to 1SD
07-02-2022,17266.75,53.15,17516.3,17712.25238,-498.652381,248654.197,0,-40.355,379.15,281.2778,5694,8170,0.43,29.79,-1157.23,-1376.49,-2533.72,23.11,-3101.065,1539.662,500,-0.139735197,-0.45,0,3,0,1,0,0,0,1,0,0,Down 1SD to 2SD
08-02-2022,17463.8,197.05,17213.6,17686.25476,-419.5047619,175984.2453,0,11.765,261,279.9579,-11148,-10111,0.54,33.51,-1967.89,1115,-852.89,22.83,-2922.696,1643.674,500,0.109430503,-0.28,1,0,1,0,0,0,0,0,1,0,Down to 1SD
09-02-2022,17605.85,142.05,17266.75,17660.56429,-196.7642857,38716.18413,0,18.585,134.1,274.9895,-3045,-4167,0.77,40.83,-892.64,1793.35,900.71,23.09,-2302.512,1369.556,700,0.230714675,0.26,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
10-02-2022,17374.75,-231.1,17463.8,17639.14048,-33.29047619,1108.255805,0,49.57,211.85,270.5117,-1571,-611,1.04,47.04,-1732.58,2727.23,994.65,22.98,-1849.095,1354.147,0,0.262685566,-0.11,3,0,1,0,0,0,0,0,1,0,Down to 1SD
11-02-2022,16842.8,-531.95,17605.85,17599.25476,-224.5047619,50402.38812,0,27.28,143.35,272.8216,210,1616,0.81,45.41,108.53,-696.9,-588.37,22.68,-1333.708,948.59,500,-0.227882055,-0.3,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
14-02-2022,17352.45,509.65,17374.75,17531.87381,-689.0738095,474822.715,0,-49.705,272.35,293.6986,12913,16998,0.47,44.34,-4253.7,2170.29,-2083.41,21.85,-1396.63,800.754,600,-0.33885093,-0.83,0,2,0,1,0,1,0,0,0,0,Down 2SD
15-02-2022,17322.2,-30.25,16842.8,17488.85952,-136.4095238,18607.55819,0,-22.44,534.05,310.988,-7193,-7334,0.76,51.21,-2298.76,4411.6,2112.84,22.36,-1624.327,1082.144,700,0.29346657,0.51,1,0,1,0,1,0,0,0,0,0,Up 2SD
16-02-2022,17304.6,-17.6,17352.45,17441.9119,-119.7119048,14330.94014,0,-45.78,231.3,305.4103,18284,20492,0.78,53.60,-1890.96,1180.14,-710.82,22.27,-1795.063,1157.562,500,0.017167496,-0.09,0,1,0,1,0,0,0,0,0,1,Down to 1SD
17-02-2022,17276.3,-28.3,17322.2,17403.41429,-98.81428571,9764.263061,0,-25.56,206.25,298.3845,-4697,-985,1.03,53.43,-1242.1,901.1,-341,22.25,-1759.519,1284.73,500,0.249538151,-0.02,0,2,0,1,0,0,0,0,0,1,Down to 1SD
18-02-2022,17206.65,-69.65,17304.6,17371.88571,-95.58571429,9136.628776,0,-24,159.2,288.6142,9203,13938,0.93,48.84,-2529.96,1929.08,-600.88,22.21,-1785.729,1415.44,500,-0.102248056,-0.04,0,3,0,1,0,0,0,0,0,1,Down to 1SD
21-02-2022,17092.2,-114.45,17276.3,17345.67857,-139.0285714,19328.94367,0,-0.695,279.8,288.0239,-4835,7814,0.97,42.83,-2261.9,2392.85,130.95,22.12,-1896.196,1792.374,500,0.038584873,-0.09,0,4,0,1,0,0,0,0,0,1,Down to 1SD
22-02-2022,17063.25,-28.95,17206.65,17320.68095,-228.4809524,52203.5456,0,-17.455,287.65,293.3686,-51847,-12367,0.83,36.20,-3245.52,4108.58,863.06,21.97,-2023.959,2091.732,500,-0.137287249,-0.15,0,5,0,1,0,0,0,0,0,1,Down to 1SD
23-02-2022,16247.95,-815.3,17092.2,17316.59286,-253.3428571,64182.60327,0,-40.055,192.75,286.1887,-41545,4168,0.73,39.20,-3417.16,3024.37,-392.79,21.97,-2276.411,2214.834,500,-0.097985122,0,0,6,0,1,0,0,0,0,0,1,Down to 1SD
24-02-2022,16658.4,410.45,17063.25,17267.54524,-1019.595238,1039574.45,0,-135.79,495.25,327.1752,106997,40984,0.46,29.36,-6448.24,7667.75,1219.51,20.89,-2747.977,2708.886,500,-0.275441717,-1.08,0,7,0,1,0,1,0,0,0,0,Down 2SD
25-02-2022,16793.9,135.5,16247.95,17246.03333,-587.6333333,345312.9344,0,-71.635,259.15,339.5806,-9185,-56691,0.68,41.27,-4470.7,4318.24,-152.46,21.42,-3205.9,3210.4,500,0.220765723,0.53,1,0,1,0,1,0,0,0,0,0,Up 2SD
28-02-2022,16605.95,-187.95,16658.4,17231.36429,-437.4642857,191375.0013,0,-4.89,457.05,348.1534,12677,29677,0.83,42.75,-3948.47,4142.82,194.35,21.59,-3175.377,3407.653,500,0.155421436,0.17,2,0,1,0,0,0,0,0,1,0,Down to 1SD
02-03-2022,16498.05,-107.9,16793.9,17196.41667,-590.4666667,348650.8844,0,-74.65,198.6,345.8032,26576,34013,0.57,36.82,-4338.94,3061.7,-1277.24,21.35,-3379.395,3272.663,500,-0.259684494,-0.24,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
03-03-2022,16245.35,-252.7,16605.95,17145.04524,-646.9952381,418602.8381,0,-82.415,324.35,344.3886,15590,17315,0.55,32.79,-6644.65,4799.24,-1845.41,21.21,-3854.764,3634.573,1000,-0.019792378,-0.14,0,2,0,1,0,0,0,0,0,1,Down to 1SD
04-03-2022,15863.15,-382.2,16498.05,17071.96667,-826.6166667,683295.1136,0,-105.925,321.45,345.8073,-10019,-3123,0.46,32.57,-7631.02,4738.99,-2892.03,20.89,-4493.656,4018.362,700,-0.094032549,-0.32,0,3,0,1,0,0,0,1,0,0,Down 1SD to 2SD
07-03-2022,16013.45,150.3,16245.35,16991.15476,-1128.004762,1272394.743,0,-141.315,460.75,359.2425,-5758,2041,0.36,34.15,-7482.08,5331.03,-2151.05,20.39,-4988.868,4358.557,800,-0.098523999,-0.5,0,4,0,1,0,1,0,0,0,0,Down 2SD
08-03-2022,16345.35,331.9,15863.15,16919.59048,-906.1404762,821090.5626,0,-119.32,356.24,359.1038,5094,16929,0.52,25.49,-8142.6,6489.59,-1653.01,20.59,-5576.938,4768.231,1000,0.160805868,0.2,1,0,1,0,0,0,0,0,1,0,Down to 1SD
